KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
 5461146;13.170; 7; 443.40; 56.49; 0.66; 5.612; 0.020; 71.7;  3.3; 18.2; 1.0;   1003.1;    67.2;4814; 80; 2.661; 0.008;-0.11; 0.15; 1.56; 0.09; 9.67; 0.21; 1.43; 0.08; 9.27; 0.20; 1.58; 0.09; 9.72; 0.21;1;M17;Simbad;295.3664200;+40.6324389
 5461147;13.330; 5; 296.60; 29.51; 0.46; 3.964; 0.067;129.4;  5.9; 11.0; 1.3;   2789.9;   450.6;5012;164; 2.387; 0.011;-0.10; 0.30; 0.95; 0.10;10.33; 0.45; 0.97; 0.10;10.46; 0.45; 0.95; 0.10;10.33; 0.44;2;M17;Simbad;295.3664600;+40.6231919
 5461205;10.960;12; 878.10; 32.72; 1.46; 3.758; 0.045;105.5;  4.8; 14.9; 1.8;   3527.8;   311.8;4504; 80; 2.409; 0.020; 0.23; 0.15; 1.37; 0.20;12.08; 0.65; 1.22; 0.18;11.40; 0.60; 1.36; 0.20;12.08; 0.65;2;M17;Simbad;295.3794900;+40.6264689
 5461244;12.930;15;1057.20; 30.42; 0.41; 4.131; 0.051;100.4;  4.0; 11.9; 1.3;   3945.9;   214.0;5075;155; 2.403; 0.010;-0.62; 0.30; 0.90; 0.08; 9.87; 0.35; 0.88; 0.08; 9.77; 0.34; 0.91; 0.08; 9.90; 0.35;2;M17;Simbad;295.3900800;+40.6724281
 5461275;12.020;12; 878.10; 51.83; 0.86; 5.068; 0.016; 67.8;  2.6; 19.1; 1.3;   1045.4;    54.0;4833;147; 2.624; 0.011; 0.06; 0.30; 1.82; 0.14;10.90; 0.30; 1.71; 0.13;10.57; 0.29; 1.86; 0.14;11.02; 0.30;1;M17;Simbad;295.3972200;+40.6382289
 5461447;11.940;12; 878.10; 22.56; 0.80; 2.922; 0.043;141.8;  5.8; 10.0; 1.9;   8137.5;   556.2;4664; 80; 2.255; 0.016;-0.08; 0.15; 1.29; 0.17;14.02; 0.69; 1.15; 0.15;13.24; 0.64; 1.29; 0.17;14.00; 0.68;2;M17;Simbad;295.4337200;+40.6962089
 5461605;13.070;15;1057.20; 30.33; 0.86; 3.823; 0.134;128.9;  5.5; 12.4; 1.2;   5493.1;   340.8;4865;146; 2.393; 0.015;-0.27; 0.30; 1.14; 0.20;11.25; 0.88; 1.05; 0.18;10.82; 0.83; 1.15; 0.20;11.28; 0.89;2;M17;Simbad;295.4682300;+40.6175119
 5461610;12.700;12; 878.10; 35.14; 0.51; 4.182; 0.017;109.9;  4.4; 14.5; 1.3;   2816.1;   228.2;4693;139; 2.449; 0.010; 0.27; 0.30; 1.17; 0.09;10.70; 0.28; 1.10; 0.08;10.37; 0.27; 1.17; 0.09;10.70; 0.28;2;M17;Simbad;295.4688700;+40.6643711
 5461724;14.158;14;1047.76;215.13; 3.20;16.559; 0.075;     ;     ;     ;    ;         ;        ;5004;148; 3.250; 0.010;-0.62; 0.30; 1.21; 0.09; 4.31; 0.12; 1.12; 0.08; 4.15; 0.11; 1.24; 0.09; 4.37; 0.12;1;M17;Simbad;295.4946600;+40.6562000
 5461779;13.760;14;1047.80;115.74; 0.74;10.037; 0.016; 63.6;  2.5; 34.5; 1.4;    189.2;    41.6;4865;151; 2.974; 0.008; 0.11; 0.30; 1.33; 0.08; 6.23; 0.14; 1.28; 0.08; 6.11; 0.14; 1.35; 0.08; 6.26; 0.14;1;M17;Simbad;295.5067700;+40.6048889
 5461921;13.280;15;1057.20; 84.21; 0.51; 8.113; 0.016; 79.1;  3.5; 23.4; 1.1;    491.9;    87.2;4680;100; 2.828; 0.007;-0.37; 0.15; 1.13; 0.06; 6.80; 0.13; 0.98; 0.05; 6.32; 0.12; 1.10; 0.06; 6.71; 0.13;1;M17;Simbad;295.5346400;+40.6043819
 5462261;12.850;12; 950.90; 72.41; 0.60; 7.002; 0.015; 77.0;  3.0; 21.7; 0.8;    629.4;    42.0;4669; 80; 2.762; 0.007; 0.18; 0.15; 1.30; 0.07; 7.84; 0.15; 1.19; 0.06; 7.52; 0.14; 1.31; 0.07; 7.88; 0.15;1;M17;Simbad;295.6122100;+40.6499289
 5462460;12.400;12; 878.10; 31.99; 0.69; 4.222; 0.061;112.5;  5.9; 17.0; 1.6;   4014.8;   333.6;4997;159; 2.422; 0.012;-0.58; 0.30; 0.94; 0.10; 9.86; 0.41; 0.89; 0.09; 9.60; 0.40; 0.94; 0.10; 9.90; 0.42;2;M17;Simbad;295.6589400;+40.6204189
 5462797;11.950;15;1057.20; 11.90; 0.71; 1.596; 0.036;131.6;  9.7;  5.3; 0.9;  18847.5;  1543.8;4604; 80; 1.974; 0.027;-0.26; 0.15; 2.09; 0.43;24.64; 1.89; 1.90; 0.39;23.48; 1.78; 2.06; 0.42;24.45; 1.87;1;M17;Simbad;295.7306200;+40.6433300
 5462853;13.060; 7; 524.00; 74.42; 1.33; 6.495; 0.015; 38.0;  2.7; 26.2; 3.3;    354.6;    56.7;4921;172; 2.785; 0.012;-0.25; 0.30; 2.06; 0.17; 9.62; 0.28; 1.93; 0.16; 9.31; 0.27; 2.10; 0.18; 9.72; 0.28;1;M17;Simbad;295.7438000;+40.6798900
 5467099;13.036;18;1318.14;238.11; 1.46;17.373; 0.042;     ;     ;     ;    ;         ;        ;5090;156; 3.297; 0.008; 0.16; 0.30; 1.38; 0.09; 4.37; 0.10; 1.42; 0.09; 4.42; 0.10; 1.40; 0.09; 4.40; 0.10;1;M17;Simbad;296.6721500;+40.6250111
 5468123;13.450; 8; 557.60; 95.71; 0.51; 8.553; 0.018; 60.9;  3.4; 23.2; 1.1;    371.9;   101.8;4804; 80; 2.889; 0.006; 0.03; 0.15; 1.40; 0.07; 7.05; 0.13; 1.31; 0.06; 6.81; 0.12; 1.42; 0.07; 7.09; 0.13;1;M17;Simbad;296.8946800;+40.6628189
 5468161;12.590;18;1318.10;109.58; 0.73; 9.029; 0.014; 37.6;  2.1; 35.0; 2.8;    171.4;    34.3;4844; 80; 2.950; 0.006; 0.22; 0.15; 1.72; 0.08; 7.27; 0.13; 1.64; 0.08; 7.10; 0.13; 1.75; 0.09; 7.35; 0.13;1;M17;Simbad;296.9003900;+40.6555100
 5470218;13.070;18;1318.20;168.53; 0.92;13.593; 0.015; 43.9;  1.9; 49.6; 2.4;     42.2;     7.7;4932; 80; 3.141; 0.006; 0.06; 0.15; 1.25; 0.06; 4.98; 0.09; 1.23; 0.06; 4.94; 0.09; 1.26; 0.06; 5.00; 0.09;1;M17;Simbad;297.3568100;+40.6238400
 5471005;13.900;16;1276.20;  7.92; 0.23; 1.431; 0.053;238.3; 28.4;  3.8; 0.8; 124040.2; 10888.9;4297;150; 1.783; 0.015;-0.12; 0.30; 0.86; 0.16;19.71; 1.63; 0.71; 0.13;17.95; 1.43; 0.84; 0.15;19.48; 1.60;1;M17;Simbad;297.5466600;+40.6639750
 5471038;13.689;17;1308.72;215.98; 2.23;17.489; 0.024;     ;     ;     ;    ;         ;        ;5160;157; 3.258; 0.009;-0.36; 0.30; 1.03; 0.07; 3.94; 0.09; 1.05; 0.07; 3.99; 0.09; 1.04; 0.07; 3.97; 0.09;1;M17;Simbad;297.5533800;+40.6889381
 5471396;11.300; 4; 206.30; 16.13; 0.69; 2.151; 0.104;168.9; 23.1;  6.2; 1.4;  15544.5;  3176.7;4506; 80; 2.102; 0.019;-0.01; 0.15; 1.52; 0.36;18.18; 1.94; 1.35; 0.31;17.13; 1.79; 1.51; 0.36;18.10; 1.93;0;M17;Simbad;297.6378200;+40.6582300
 5471433;11.940;18;1318.20;197.97; 0.70;14.988; 0.287; 17.1;  1.3; 30.7; 2.6;     21.9;     3.5;4964;173; 3.212; 0.009;-0.06; 0.30; 1.38; 0.14; 4.83; 0.21; 1.34; 0.13; 4.75; 0.21; 1.40; 0.14; 4.86; 0.22;1;M17;Simbad;297.6477700;+40.6635631
 5471522; 9.550; 4; 206.30;  9.96; 0.76; 1.388; 0.060;218.9; 37.6;  4.2; 1.9;  56932.4; 11216.6;4339;124; 1.884; 0.034; 0.00; 0.30; 1.96; 0.57;26.47; 3.09; 1.77; 0.51;25.19; 2.90; 1.93; 0.56;26.30; 3.07;0;M17;Simbad;297.6740700;+40.6368900
 5472717;12.400;18;1318.20; 97.09; 0.68; 8.372; 0.014; 51.5;  2.1; 30.4; 1.4;    204.2;    36.2;4853; 80; 2.897; 0.006; 0.07; 0.15; 1.62; 0.08; 7.50; 0.14; 1.53; 0.07; 7.29; 0.13; 1.65; 0.08; 7.56; 0.14;1;M17;Simbad;297.9822400;+40.6683081
 5472964;13.350;17;1308.70;142.91; 0.75;12.212; 0.023; 53.2;  1.7; 38.4; 1.4;     68.4;    12.8;4819; 80; 3.064; 0.006; 0.00; 0.15; 1.13; 0.05; 5.17; 0.09; 1.07; 0.05; 5.04; 0.09; 1.14; 0.05; 5.19; 0.09;1;M17;Simbad;298.0324100;+40.6369711
 5472976;11.570;18;1318.20; 85.87; 1.01; 7.408; 0.015; 49.8;  1.8; 29.1; 1.6;    377.3;    24.3;4713; 80; 2.838; 0.008; 0.43; 0.15; 1.75; 0.10; 8.35; 0.17; 1.64; 0.09; 8.08; 0.17; 1.77; 0.10; 8.40; 0.17;2;M17;Simbad;298.0353100;+40.6897581
 5473628;12.660;15;1211.90; 91.70; 1.28; 7.547; 0.021; 29.5;  1.9; 31.3; 3.0;    195.2;    31.7;4913; 80; 2.875; 0.008; 0.26; 0.15; 2.11; 0.13; 8.77; 0.19; 2.06; 0.13; 8.68; 0.19; 2.15; 0.13; 8.86; 0.20;1;M17;Simbad;298.1668100;+40.6583789
 5473840;12.240;18;1318.20; 92.94; 1.89; 7.593; 0.039; 34.4;  2.3; 36.3; 4.0;    202.1;    56.1;4938; 80; 2.882; 0.010; 0.37; 0.15; 2.16; 0.17; 8.80; 0.25; 2.15; 0.17; 8.80; 0.25; 2.18; 0.17; 8.86; 0.25;2;M17;Simbad;298.2171900;+40.6940919
 5474712;13.190;10; 704.40; 31.16; 0.54; 4.046; 0.066;104.3;  4.6; 12.5; 1.3;   3106.8;   365.7;4911; 80; 2.406; 0.009;-0.25; 0.15; 1.00; 0.09;10.37; 0.42; 0.96; 0.09;10.15; 0.41; 1.00; 0.09;10.39; 0.42;2;M17;Simbad;298.3915100;+40.6436811
 5474982;13.860; 7; 548.20; 34.23; 0.48; 4.211; 0.069;125.1;  5.7; 13.1; 1.4;   3459.6;   330.8;4881;157; 2.446; 0.010;-0.06; 0.30; 1.12; 0.11;10.48; 0.44; 1.08; 0.11;10.29; 0.43; 1.13; 0.11;10.51; 0.44;2;M17;Simbad;298.4352100;+40.6428911
 5475271;12.600; 6; 380.90;  8.11; 0.24; 1.290; 0.048;310.2; 24.7;  3.4; 0.4;  50795.1;  9308.5;4347; 80; 1.795; 0.014;-0.11; 0.15; 1.42; 0.25;24.96; 2.04; 1.24; 0.22;23.36; 1.86; 1.38; 0.25;24.66; 2.01;1;M17;Simbad;298.4881000;+40.6792600
 5475321;13.860;14;1126.00; 37.70; 1.12; 3.917; 0.014; 74.6;  3.9; 15.9; 1.7;   1867.9;   195.6;4813;153; 2.485; 0.015;-0.02; 0.30; 1.96; 0.21;13.25; 0.49; 1.82; 0.20;12.78; 0.47; 1.99; 0.22;13.37; 0.50;2;M17;Simbad;298.4958500;+40.6257589
 5475667;15.480;14;1111.80; 35.87; 1.20; 4.161; 0.041;107.7;  5.9; 16.8; 3.8;   1448.0;   188.9;4697;164; 2.458; 0.017;-0.25; 0.30; 1.27; 0.16;11.03; 0.49; 1.12; 0.14;10.35; 0.46; 1.26; 0.16;10.96; 0.49;2;M17;Simbad;298.5645100;+40.6980511
 5475952;12.520;17;1292.40; 49.34; 0.75; 4.975; 0.012; 72.1;  3.3; 18.1; 1.4;   1242.6;    74.1;4679; 80; 2.596; 0.009; 0.09; 0.15; 1.61; 0.10;10.60; 0.24; 1.47; 0.09;10.12; 0.23; 1.63; 0.10;10.66; 0.24;1;M17;Simbad;298.6170300;+40.6125719
 5476002;13.800;17;1308.80; 83.90; 2.36; 7.664; 0.038; 60.3;  3.1; 31.0; 1.6;    210.5;    57.5;4872;148; 2.835; 0.015;-0.11; 0.30; 1.50; 0.16; 7.75; 0.28; 1.40; 0.15; 7.49; 0.27; 1.52; 0.16; 7.81; 0.28;1;M17;Simbad;298.6266200;+40.6177100
 5476034;13.050;16;1221.40; 32.49; 0.64; 4.097; 0.030;117.6;  6.2; 13.3; 1.3;   4685.8;   293.9;4716; 80; 2.416; 0.010; 0.16; 0.15; 1.01; 0.08;10.33; 0.30; 0.96; 0.08;10.07; 0.30; 1.02; 0.08;10.34; 0.30;2;M17;Simbad;298.6323200;+40.6414411
 5476427;13.540; 7; 467.30; 33.30; 0.59; 3.867; 0.033;116.5;  5.3; 14.2; 2.0;   3508.2;   273.7;4918;167; 2.436; 0.012; 0.11; 0.30; 1.47; 0.13;12.14; 0.40; 1.42; 0.13;11.94; 0.39; 1.49; 0.13;12.22; 0.41;2;M17;Simbad;298.7050500;+40.6947711
 5476729;13.750;15;1212.00; 47.65; 0.95; 4.799; 0.037; 61.6;  4.6; 18.2; 2.3;   1331.1;   288.5;5114;170; 2.600; 0.012;-0.24; 0.30; 1.92; 0.18;11.50; 0.38; 1.88; 0.17;11.37; 0.38; 1.98; 0.18;11.68; 0.39;2;M17;Simbad;298.7635200;+40.6978489
 5476808;13.580; 8; 557.60; 57.62; 0.46; 6.027; 0.015; 93.9;  5.4; 18.2; 1.1;   1009.2;    95.0;4880;159; 2.672; 0.009;-0.10; 0.30; 1.27; 0.08; 8.61; 0.20; 1.20; 0.08; 8.37; 0.20; 1.29; 0.09; 8.66; 0.20;1;M17;Simbad;298.7780200;+40.6269000
 5477219;15.860;14;1111.80; 46.01; 0.65; 4.912; 0.024; 88.4;  7.3; 14.8; 1.4;   1178.0;   592.0;4488;157; 2.556; 0.011;-0.18; 0.30; 1.29; 0.10; 9.93; 0.28; 1.13; 0.09; 9.26; 0.26; 1.26; 0.10; 9.82; 0.28;1;M17;Simbad;298.8506500;+40.6933589
 5477259;13.170; 8; 557.60; 30.36; 0.41; 3.867; 0.048;131.1;  5.6; 12.3; 2.0;   4246.3;   352.9;4863;155; 2.393; 0.010;-0.12; 0.30; 1.09; 0.10;11.00; 0.39; 1.04; 0.09;10.73; 0.38; 1.10; 0.10;11.03; 0.39;2;M17;Simbad;298.8585500;+40.6348300
 5477873;12.500;14;1129.60; 36.92; 0.81; 3.866; 0.016; 76.7;  3.6; 16.5; 2.0;   1025.2;   222.9;4689; 80; 2.470; 0.011; 0.11; 0.15; 1.86; 0.15;13.15; 0.38; 1.71; 0.14;12.59; 0.36; 1.88; 0.15;13.23; 0.38;1;M17;Simbad;298.9755600;+40.6061289
 5477973;13.130;10; 704.40; 33.58; 0.54; 4.116; 0.043;117.6;  5.2; 13.1; 1.0;   3530.6;   278.5;4782; 80; 2.433; 0.009; 0.10; 0.15; 1.12; 0.09;10.65; 0.33; 1.07; 0.08;10.39; 0.32; 1.13; 0.09;10.68; 0.33;2;M17;Simbad;298.9929800;+40.6474989
 5478010;11.610;18;1318.20; 35.49; 0.80; 4.243; 0.048; 96.8;  3.9; 14.2; 1.1;   2812.5;   155.3;4834; 80; 2.460; 0.011;-0.11; 0.15; 1.19; 0.11;10.65; 0.38; 1.11; 0.10;10.29; 0.37; 1.20; 0.11;10.68; 0.38;2;M17;Simbad;299.0000600;+40.6845019
 5478227;12.910; 6; 380.90; 28.46; 1.23; 3.160; 0.031;109.3;  7.2; 12.7; 2.0;   4255.6;   665.5;4398;131; 2.343; 0.020; 0.06; 0.30; 1.73; 0.25;14.69; 0.76; 1.55; 0.23;13.88; 0.71; 1.72; 0.25;14.62; 0.75;2;M17;Simbad;299.0444300;+40.6426089
 5478318;13.270; 6; 380.90; 33.18; 0.91; 3.783; 0.022;106.2;  5.9; 13.6; 1.4;   2438.0;   331.0;4758;153; 2.427; 0.014;-0.34; 0.30; 1.51; 0.16;12.43; 0.46; 1.33; 0.14;11.70; 0.43; 1.49; 0.16;12.36; 0.45;1;M17;Simbad;299.0632300;+40.6585811
 5478399;13.500; 6; 380.90; 36.98; 1.27; 3.867; 0.031; 80.6;  5.2; 16.7; 2.4;   1675.9;   482.9;4733;150; 2.473; 0.017;-0.26; 0.30; 1.89; 0.23;13.22; 0.58; 1.70; 0.21;12.54; 0.54; 1.88; 0.23;13.18; 0.57;1;M17;Simbad;299.0831300;+40.6214219
 5478864;11.100;15;1139.10; 34.78; 0.65; 4.148; 0.044;104.2;  4.9; 14.2; 1.1;   2180.6;   311.5;4827; 80; 2.450; 0.010;-0.10; 0.15; 1.23; 0.10;10.91; 0.36; 1.14; 0.09;10.53; 0.34; 1.23; 0.10;10.95; 0.36;2;M17;Simbad;299.1704700;+40.6780400
 5479052;13.940; 6; 457.90; 37.33; 0.50; 4.345; 0.089;106.3;  4.3; 15.8; 1.9;   1461.4;   267.5;4945;167; 2.486; 0.010;-0.23; 0.30; 1.31; 0.14;10.81; 0.52; 1.23; 0.14;10.51; 0.50; 1.33; 0.15;10.89; 0.53;2;M17;Simbad;299.2070900;+40.6821519
 5479406;13.850; 6; 457.90; 30.10; 5.18; 4.060; 0.264; 72.7;  7.3; 13.8; 4.1;   3713.5;   493.7;4915;161; 2.392; 0.075;-0.27; 0.30; 0.89; 0.52; 9.95; 2.16; 0.87; 0.50; 9.83; 2.13; 0.90; 0.52;10.00; 2.17;2;M17;Simbad;299.2720300;+40.6489411
 5479483;13.130;17;1308.80; 95.26; 0.80; 8.216; 0.017; 44.1;  2.8; 26.5; 2.0;    303.8;    46.7;4875; 80; 2.890; 0.007; 0.18; 0.15; 1.66; 0.08; 7.66; 0.14; 1.59; 0.08; 7.49; 0.14; 1.69; 0.09; 7.73; 0.15;1;M17;Simbad;299.2854900;+40.6194189
 5479721;13.640;17;1308.80;113.57; 2.63; 8.581; 0.051; 19.8;  1.9; 51.9;16.8;     32.6;     8.0;5012;158; 2.973; 0.013;-0.27; 0.30; 2.47; 0.23; 8.49; 0.28; 2.43; 0.23; 8.42; 0.28; 2.55; 0.24; 8.62; 0.29;0;M17;Simbad;299.3330700;+40.6018711
 5479860;13.460; 9; 642.20; 26.55; 0.45; 3.787; 0.110;128.3;  6.9; 11.6; 1.2;   6108.4;   445.8;4983;161; 2.340; 0.011;-0.21; 0.30; 0.82; 0.12;10.16; 0.65; 0.85; 0.12;10.32; 0.67; 0.83; 0.12;10.22; 0.66;2;M17;Simbad;299.3593800;+40.6128689
 5480386;13.810; 7; 548.20; 30.76; 0.95; 3.822; 0.055;143.9;  6.7; 13.4; 1.5;   4128.5;   885.8;4673;140; 2.390; 0.016;-0.02; 0.30; 1.12; 0.14;11.19; 0.53; 1.01; 0.12;10.63; 0.49; 1.12; 0.14;11.20; 0.53;2;M17;Simbad;299.4582200;+40.6647611
 5480439;13.560;15;1212.00; 68.78; 1.12; 6.259; 0.031; 47.4;  2.4; 29.5; 2.3;    242.3;    71.2;4855;152; 2.748; 0.011;-0.43; 0.30; 1.84; 0.15; 9.51; 0.27; 1.67; 0.13; 9.05; 0.26; 1.85; 0.15; 9.52; 0.27;2;M17;Simbad;299.4668300;+40.6819689
 5480758;13.580;18;1318.20; 99.30; 2.06; 7.850; 0.050; 28.7;  1.7; 38.6; 5.6;     69.4;    15.6;5057;162; 2.916; 0.012;-0.56; 0.30; 2.38; 0.21; 8.91; 0.29; 2.33; 0.21; 8.80; 0.28; 2.48; 0.22; 9.08; 0.29;2;M17;Simbad;299.5262500;+40.6385989
 5480879;13.780;13;1032.90; 33.86; 0.60; 4.017; 0.057; 86.0;  4.7; 14.3; 5.7;   3173.0;   353.0;4978;162; 2.446; 0.011;-0.49; 0.30; 1.35; 0.13;11.51; 0.46; 1.25; 0.12;11.09; 0.44; 1.38; 0.14;11.65; 0.47;2;M17;Simbad;299.5455900;+40.6149100
 5480957;12.550;18;1318.20;105.36; 1.36; 8.245; 0.043; 29.5;  3.9; 31.7; 5.7;    226.0;    86.0;5056; 80; 2.942; 0.008; 0.23; 0.15; 2.34; 0.14; 8.56; 0.20; 2.41; 0.15; 8.69; 0.20; 2.40; 0.15; 8.67; 0.20;2;M17;Simbad;299.5611900;+40.6265911
 5481206;13.380;16;1221.40; 49.44; 1.89; 4.720; 0.049; 41.7;  6.4; 12.2; 1.7;   2329.2;   227.5;5066;170; 2.614; 0.019;-0.31; 0.30; 2.26; 0.31;12.27; 0.60; 2.21; 0.30;12.16; 0.59; 2.34; 0.32;12.51; 0.61;2;M17;Simbad;299.6079700;+40.6364519
 5481809;13.120; 8; 557.60; 31.05; 1.18; 3.489; 0.041; 71.0;  5.5; 15.0; 2.6;   2419.6;   447.8;4983;169; 2.408; 0.019;-0.17; 0.30; 1.83; 0.25;13.99; 0.70; 1.74; 0.24;13.65; 0.68; 1.87; 0.26;14.17; 0.71;2;M17;Simbad;299.7104200;+40.6620411
 5511314;13.930;12; 943.00; 45.08; 0.47; 5.015; 0.015;106.7;  4.5; 15.1; 0.9;   1856.0;   199.1;4870;143; 2.565; 0.009;-0.36; 0.30; 1.27; 0.08; 9.72; 0.23; 1.15; 0.08; 9.27; 0.22; 1.28; 0.08; 9.77; 0.23;1;M17;Simbad;283.0928000;+40.7145689
 5511566;12.570;14;1023.50; 27.92; 0.65; 4.212; 0.117;121.2;  5.2; 13.1; 2.1;   5904.7;   348.6;4968; 80; 2.361; 0.011;-0.71; 0.15; 0.62; 0.09; 8.62; 0.54; 0.60; 0.08; 8.44; 0.52; 0.67; 0.09; 8.95; 0.57;2;M17;Simbad;283.2100800;+40.7724189
 5511580;13.430; 6; 380.80; 64.36; 0.74; 6.105; 0.020; 89.5;  4.8; 19.6; 1.4;   1223.8;    83.8;4677;143; 2.711; 0.009; 0.40; 0.30; 1.58; 0.11; 9.18; 0.23; 1.47; 0.10; 8.87; 0.22; 1.59; 0.11; 9.22; 0.23;2;M17;Simbad;283.2152700;+40.7583619
 5511847; 9.440;14;1023.50;  4.98; 0.23; 0.974; 0.063;369.8; 41.8;  2.6; 0.7; 306059.8; 32638.8;4112;143; 1.571; 0.022; 0.10; 0.30; 0.93; 0.28;26.14; 3.63; 0.77; 0.22;23.81; 3.18; 0.90; 0.27;25.79; 3.56;0;M17;Simbad;283.3450600;+40.7273600
 5512223;12.260;10; 704.30;  7.46; 0.39; 1.435; 0.073;313.5; 28.7;  3.4; 1.0; 127620.4; 14829.7;4836;143; 1.782; 0.024;-0.36; 0.30; 0.85; 0.22;19.57; 2.28; 0.78; 0.20;18.83; 2.16; 0.85; 0.23;19.63; 2.29;0;M17;Simbad;283.5459300;+40.7356411
 5512348;13.680; 6; 457.80; 62.43; 0.44; 6.120; 0.021; 85.1;  3.5; 19.7; 1.1;    833.1;    90.9;4927;149; 2.709; 0.008; 0.01; 0.30; 1.54; 0.10; 9.09; 0.21; 1.48; 0.09; 8.90; 0.20; 1.56; 0.10; 9.15; 0.21;1;M17;Simbad;283.6211900;+40.7183611
 5512777;11.230; 5; 288.70; 30.70; 0.81; 3.551; 0.212;121.9; 11.2; 12.7; 2.3;   5285.4;   619.0;4757;100; 2.393; 0.013;-0.25; 0.15; 1.53; 0.39;13.05; 1.61; 1.37; 0.34;12.33; 1.48; 1.53; 0.39;13.03; 1.61;2;M17;Simbad;283.8225700;+40.7633589
 5512910;13.040; 7; 467.30; 38.24; 0.71; 4.337; 0.030; 92.2;  3.5; 15.4; 2.3;   1889.9;   227.5;4977;100; 2.498; 0.010;-0.43; 0.15; 1.43; 0.11;11.14; 0.32; 1.33; 0.10;10.76; 0.31; 1.46; 0.11;11.29; 0.33;2;M17;Simbad;283.8788500;+40.7124289
 5512996;12.030;12; 870.10; 29.43; 0.54; 4.166; 0.103;130.7;  6.8; 12.9; 1.2;   4826.8;   410.1;5073;151; 2.389; 0.011;-0.51; 0.30; 0.79; 0.10; 9.39; 0.53; 0.80; 0.10; 9.48; 0.54; 0.81; 0.10; 9.51; 0.54;2;M17;Simbad;283.9148900;+40.7966611
 5513434;13.170;14;1023.40;130.01; 1.10;10.333; 0.018; 36.1;  1.6; 44.0; 3.4;     58.1;    14.0;5167;155; 3.038; 0.009;-0.08; 0.30; 1.84; 0.12; 6.80; 0.15; 1.85; 0.12; 6.83; 0.15; 1.89; 0.12; 6.89; 0.16;1;M17;Simbad;284.1149900;+40.7393611
 5513771;12.450;12; 870.10;172.66; 1.12;14.324; 0.063; 43.3;  1.5; 49.0; 1.8;     43.5;     7.7;4947;148; 3.152; 0.008;-0.25; 0.30; 1.09; 0.07; 4.60; 0.11; 1.05; 0.07; 4.50; 0.10; 1.10; 0.07; 4.62; 0.11;1;M17;Simbad;284.2969100;+40.7092589
 5514024;10.900;14;1023.40;142.93; 0.75;12.390; 0.021; 51.0;  1.5; 40.4; 1.0;     86.1;    12.6;4840; 80; 3.065; 0.006;-0.21; 0.15; 1.07; 0.05; 5.03; 0.09; 1.00; 0.05; 4.85; 0.08; 1.08; 0.05; 5.04; 0.09;1;M17;Simbad;284.4406400;+40.7147789
 5514079;11.610;14;1023.40; 86.86; 0.53; 7.808; 0.017; 55.1;  2.1; 24.4; 1.0;    411.4;    29.8;4635;100; 2.839; 0.007; 0.11; 0.15; 1.43; 0.08; 7.54; 0.15; 1.29; 0.07; 7.17; 0.14; 1.44; 0.08; 7.57; 0.15;1;M17;Simbad;284.4687500;+40.7488519
 5514689;13.960;13;1013.80;166.50; 1.03;14.107; 0.086; 46.9;  2.3; 42.9; 1.9;     57.3;    17.7;5020;150; 3.139; 0.008;-0.43; 0.30; 1.07; 0.07; 4.61; 0.11; 1.03; 0.07; 4.52; 0.11; 1.09; 0.07; 4.65; 0.12;1;M17;Simbad;284.7984600;+40.7817919
 5514964;13.250;14;1023.30; 28.42; 0.61; 3.959; 0.051;132.8;  5.0; 12.5; 1.2;   5678.5;   396.9;5027;151; 2.372; 0.012;-0.25; 0.30; 0.86; 0.09; 9.99; 0.39; 0.88; 0.09;10.13; 0.40; 0.87; 0.09;10.05; 0.40;2;M17;Simbad;284.9391200;+40.7150500
 5514974;11.360;14;1023.30; 32.39; 0.82; 4.076; 0.025;123.0;  5.5; 14.0; 1.3;   4116.3;   278.7;4762;100; 2.417; 0.013; 0.02; 0.15; 1.04; 0.10;10.45; 0.35; 0.98; 0.09;10.15; 0.34; 1.05; 0.10;10.48; 0.35;2;M17;Simbad;284.9460100;+40.7577711
 5515314;10.880;14;1023.30;136.60; 0.90;10.880; 0.033; 32.8;  3.0; 32.9; 2.9;    190.2;    49.7;4792;100; 3.043; 0.007; 0.45; 0.15; 1.55; 0.08; 6.21; 0.12; 1.48; 0.08; 6.06; 0.12; 1.56; 0.08; 6.23; 0.12;1;M17;Simbad;285.1444700;+40.7553411
 5515642;15.550;13;1013.80; 30.87; 0.86; 3.271; 0.080; 64.6;  6.7; 13.9; 5.9;   1048.0;   724.1;5133;151; 2.412; 0.014;-0.56; 0.30; 2.43; 0.34;16.06; 0.96; 2.44; 0.34;16.08; 0.96; 2.60; 0.37;16.62; 1.01;2;M17;Simbad;285.3069800;+40.7029611
